date,instrument,expiry_date,option_type,strike,strike_offset,pair_high,pair_low,pair_bar1_time,pair_bar2_time,range_size,sl_spot,tp_spot,trigger_time,spot_at_trigger,trigger_option_close,entry_time,spot_at_entry,entry_price,exit_time,spot_at_exit,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2026-05-13,NIFTY,2026-05-19,PE,23200,-3,23503.8,23362.45,09:15,09:16,141.34999999999854,23503.8,23192.83,09:31,23357.85,149.85,09:32,23357.75,150.3,11:46,23499.95,109.7,SL,-40.60000000000001,-2639.0000000000005,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23509.9,23494.35,11:45,11:46,15.55000000000291,23509.9,23475.689999999995,11:47,23489.45,139.45,11:48,23488.1,139.75,11:54,23477.85,147.9,TP,8.150000000000006,529.7500000000003,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-3,23488.1,23472.1,11:54,11:55,16.0,23488.1,23452.899999999998,11:59,23466.1,149.25,12:00,23465.45,149.05,12:05,23486.3,142.1,SL,-6.950000000000017,-451.75000000000114,65
2026-05-13,NIFTY,2026-05-19,CE,23700,4,23491.35,23481.7,12:04,12:05,9.649999999997817,23481.7,23502.929999999997,12:06,23492.1,145.7,12:07,23491.25,145.95,12:11,23501.3,149.65,TP,3.700000000000017,240.5000000000011,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23518.7,23505.35,12:14,12:15,13.350000000002183,23518.7,23489.329999999994,12:16,23493.95,140.95,12:17,23494.5,140.55,12:18,23480.75,144.95,TP,4.399999999999977,285.9999999999985,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23498.15,23479.05,12:17,12:18,19.100000000002183,23498.15,23456.129999999997,12:33,23476.3,147.65,12:34,23476.65,147.05,12:37,23450.2,156.9,TP,9.849999999999994,640.2499999999997,65
2026-05-13,NIFTY,2026-05-19,PE,23250,-4,23467.6,23449.5,12:36,12:37,18.099999999998545,23467.6,23427.780000000002,12:40,23439.05,144.9,12:41,23438.1,145.5,12:42,23424.0,150.95,TP,5.449999999999989,354.24999999999926,65
2026-05-13,NIFTY,2026-05-19,CE,23650,4,23448.2,23423.3,12:41,12:42,24.900000000001455,23423.3,23478.08,12:43,23455.05,150.2,12:44,23455.0,150.0,12:52,23481.8,162.0,TP,12.0,780.0,65
2026-05-13,NIFTY,2026-05-19,PE,23400,-3,23582.95,23553.3,12:59,13:00,29.650000000001455,23582.95,23517.719999999998,13:05,23553.05,145.35,13:06,23551.8,144.15,13:17,23517.7,162.9,TP,18.75,1218.75,65
2026-05-13,NIFTY,2026-05-19,CE,23700,4,23509.85,23494.4,13:18,13:19,15.44999999999709,23494.4,23528.389999999996,13:31,23514.25,150.4,13:32,23514.2,150.15,13:33,23535.0,162.0,TP,11.849999999999994,770.2499999999997,65
