Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
227,Exit short,2026-04-22 15:15,EOD Square-off,24383.55,1,24435.45,51.9,0.21,61.3,0.25,-22.8,-0.09,1016.1,0.10
227,Entry short,2026-04-22 11:27,Short,24435.45,1,24435.45,51.9,0.21,61.3,0.25,-22.8,-0.09,1016.1,0.10
228,Exit short,2026-04-23 14:33,S-Exit,24170.45,1,24245.45,75,0.31,75,0.31,-7.3,-0.03,1091.1,0.11
228,Entry short,2026-04-23 13:33,Short,24245.45,1,24245.45,75,0.31,75,0.31,-7.3,-0.03,1091.1,0.11
229,Exit long,2026-04-27 13:15,L-Exit,24112.2,1,24037.2,75,0.31,75,0.31,-14.4,-0.06,1166.1,0.12
229,Entry long,2026-04-27 11:57,Long,24037.2,1,24037.2,75,0.31,75,0.31,-14.4,-0.06,1166.1,0.12
230,Exit long,2026-04-28 11:24,L-Exit,24082.25,1,24132.25,-50,-0.21,5.3,0.02,-50,-0.21,1116.1,0.11
230,Entry long,2026-04-28 11:18,Long,24132.25,1,24132.25,-50,-0.21,5.3,0.02,-50,-0.21,1116.1,0.11
231,Exit short,2026-04-28 12:30,S-Exit,24002.35,1,24077.35,75,0.31,75,0.31,-16.45,-0.07,1191.1,0.12
231,Entry short,2026-04-28 11:24,Short,24077.35,1,24077.35,75,0.31,75,0.31,-16.45,-0.07,1191.1,0.12
232,Exit short,2026-04-29 15:15,EOD Square-off,24159.85,1,24192.55,32.7,0.14,34.1,0.14,-38.15,-0.16,1223.8,0.12
232,Entry short,2026-04-29 14:18,Short,24192.55,1,24192.55,32.7,0.14,34.1,0.14,-38.15,-0.16,1223.8,0.12
233,Exit short,2026-04-30 13:33,S-Exit,23992.05,1,23942.05,-50,-0.21,3.7,0.02,-50,-0.21,1173.8,0.12
