time,open,high,low,close,Up Trend,Down Trend,Up Trend,Down Trend,VWAP,Histogram,MACD,Signal line
2026-04-02T11:35:00+05:30,22218.9,22239.2,22218.3,22234.4,,22283.497785545078,,22298.957677342674,22233.809091918618,16.981175165885332,-49.175759332658345,-66.15693449854368
2026-04-02T11:40:00+05:30,22234.75,22237.25,22221.4,22225.5,,22283.497785545078,,22298.957677342674,22233.629121700353,16.458532632014226,-45.583768708525895,-62.04230134054012
2026-04-02T11:45:00+05:30,22223.15,22251.05,22223.1,22242,,22283.497785545078,,22298.957677342674,22233.73891828959,16.886786211528218,-40.93381857612985,-57.82060478765807
2026-04-02T11:50:00+05:30,22242.65,22256.75,22241.65,22245.2,,22283.497785545078,,22298.957677342674,22234.00726834182,17.001329962300005,-36.56894233478306,-53.570272297083065
2026-04-02T11:55:00+05:30,22247.4,22300.6,22243.6,22277.2,,22283.497785545078,,22298.957677342674,22235.056596977494,18.712441145245506,-30.17972086552618,-48.892162010771685
2026-04-02T12:00:00+05:30,22277.55,22288.75,22260.4,22271.25,,22283.497785545078,,22298.957677342674,22235.880092561365,18.870020807953175,-25.304636000830214,-44.17465680878339
2026-04-02T12:05:00+05:30,22269.5,22270.2,22244.55,22262.4,,22283.497785545078,,22298.957677342674,22236.41115524832,17.817536604869808,-21.902736052696127,-39.720272657565936
2026-04-02T12:10:00+05:30,22264.3,22277.4,22259.05,22267,,22283.497785545078,,22298.957677342674,22236.820284173144,16.87951858292135,-18.62087442891425,-35.5003930118356
2026-04-02T12:15:00+05:30,22267.85,22272.45,22256.9,22261.65,,22283.497785545078,,22298.957677342674,22237.23328655411,15.38896060823106,-16.264192251546774,-31.653152859777833
2026-04-02T12:20:00+05:30,22261.45,22266.2,22231.25,22261.65,,22283.497785545078,,22298.957677342674,22237.50538536084,13.936568755034294,-14.232441915984964,-28.169010671019258
2026-04-02T12:25:00+05:30,22258.9,22295,22255.7,22295,22211.81837317287,,,22298.957677342674,22238.12202519812,14.680790297346466,-9.818022799336177,-24.498813096682643
2026-04-02T12:30:00+05:30,22294.5,22319.45,22285.15,22316.55,22238.51495451423,,22215.618030837235,,22240.003823948362,15.976284313718146,-4.528457704534958,-20.504742018253104
2026-04-02T12:35:00+05:30,22316.45,22360.75,22307.7,22348.6,22268.324206788515,,22240.296227753508,,22242.454492905996,18.183065586333697,2.2240899646640173,-15.95897562166968
2026-04-02T12:40:00+05:30,22349.3,22368.1,22334.3,22361.85,22285.21424644909,,22256.524104978158,,22244.667667694943,19.604125971448617,8.54618184264109,-11.057944128807526
2026-04-02T12:45:00+05:30,22363.05,22367.05,22336.65,22350.9,22286.123534126637,,22257.521694480343,,22247.1605827642,18.869148159665365,12.52849107077418,-6.3406570888911835
2026-04-02T12:50:00+05:30,22351.15,22362.95,22323.55,22324.65,22286.123534126637,,22257.521694480343,,22248.883738273747,15.80191926494603,13.411741992291354,-2.3901772726546757
2026-04-02T12:55:00+05:30,22326.25,22371.7,22325.2,22364.8,22286.123534126637,,22257.521694480343,,22251.932390167156,15.635146888762932,17.15375633829899,1.5186094495360574
2026-04-02T13:00:00+05:30,22365.3,22406,22364.85,22373.35,22316.927171321826,,22282.02196527617,,22255.228030792303,15.24279311169273,20.57210083915197,5.32930772745924
2026-04-02T13:05:00+05:30,22372.9,22378.75,22330.9,22376.8,22316.927171321826,,22282.02196527617,,22257.400223794673,14.369405621838869,23.291064754757826,8.921659132918958
2026-04-02T13:10:00+05:30,22375.9,22376.9,22355.35,22369.85,22316.927171321826,,22282.02196527617,,22258.853463346888,12.543845449659901,24.601465944993834,12.057620495333932
2026-04-02T13:15:00+05:30,22368.5,22394.65,22360.3,22389.1,22316.927171321826,,22282.02196527617,,22260.78501591979,11.860613598550938,26.883387493522605,15.022773894971667
2026-04-02T13:20:00+05:30,22388.45,22439.65,22385.65,22439.65,22342.147413555198,,22303.631323917696,,22264.74217243924,13.899647291083895,32.397333008826536,18.49768571774264
