time,open,high,low,close,PDH,PDL,Shapes,Shapes
2026-04-16T13:30:00+05:30,24116.1,24128.45,24115.3,24124.05,24280.9,24145.8,0,0
2026-04-16T13:35:00+05:30,24123.85,24125.7,24118.1,24124.75,24280.9,24145.8,0,0
2026-04-16T13:40:00+05:30,24124.7,24140.1,24122.1,24137.75,24280.9,24145.8,0,0
2026-04-16T13:45:00+05:30,24137.85,24151.5,24137.45,24151.5,24280.9,24145.8,1,0
2026-04-16T13:50:00+05:30,24150.7,24184.75,24150.55,24183.45,24280.9,24145.8,0,0
2026-04-16T13:55:00+05:30,24184.25,24190.5,24165.55,24183.2,24280.9,24145.8,0,0
2026-04-16T14:00:00+05:30,24181.9,24183.95,24138.3,24145.3,24280.9,24145.8,0,0
2026-04-16T14:05:00+05:30,24145.4,24158.3,24132.45,24155.95,24280.9,24145.8,1,0
2026-04-16T14:10:00+05:30,24156.3,24175.35,24153.35,24166.7,24280.9,24145.8,0,0
2026-04-16T14:15:00+05:30,24166.75,24168.85,24158.9,24165.5,24280.9,24145.8,0,0
2026-04-16T14:20:00+05:30,24165.2,24171.3,24153.75,24165.05,24280.9,24145.8,0,0
2026-04-16T14:25:00+05:30,24164.65,24186.9,24164,24186.6,24280.9,24145.8,0,0
2026-04-16T14:30:00+05:30,24186.5,24221.35,24186.5,24221.2,24280.9,24145.8,0,0
2026-04-16T14:35:00+05:30,24221.35,24228.65,24211,24222.7,24280.9,24145.8,0,0
2026-04-16T14:40:00+05:30,24223.1,24234.55,24212.5,24219.65,24280.9,24145.8,0,0
2026-04-16T14:45:00+05:30,24219.5,24240.15,24218.9,24234.6,24280.9,24145.8,0,0
2026-04-16T14:50:00+05:30,24234.5,24245,24226.95,24240.75,24280.9,24145.8,0,0
2026-04-16T14:55:00+05:30,24241,24241.15,24214.6,24230.05,24280.9,24145.8,0,0
2026-04-16T15:00:00+05:30,24229.45,24238.3,24187.9,24202.95,24280.9,24145.8,0,0
2026-04-16T15:05:00+05:30,24202.7,24208.15,24163.45,24170.25,24280.9,24145.8,0,0
2026-04-16T15:10:00+05:30,24169.95,24202.5,24169.6,24183.9,24280.9,24145.8,0,0
2026-04-16T15:15:00+05:30,24184.25,24203.25,24177.8,24180.8,24280.9,24145.8,0,0
2026-04-16T15:20:00+05:30,24179.75,24199.3,24179.25,24196,24280.9,24145.8,0,0
2026-04-16T15:25:00+05:30,24196.1,24199.95,24178.85,24188.4,24280.9,24145.8,0,0
2026-04-17T09:15:00+05:30,24175.35,24224.85,24096.05,24207.55,24400.95,24102.8,1,0
2026-04-17T09:20:00+05:30,24210.55,24233.7,24195.1,24196.9,24400.95,24102.8,0,0
2026-04-17T09:25:00+05:30,24196.8,24235.6,24196.45,24233.35,24400.95,24102.8,0,0
2026-04-17T09:30:00+05:30,24232.6,24234.75,24192.5,24196.55,24400.95,24102.8,0,0
2026-04-17T09:35:00+05:30,24195.05,24222,24166.9,24211.85,24400.95,24102.8,0,0
