symbol,company_name,market_cap_cr,as_of_qtr
JYOTICNC,Jyoti CNC Automation Ltd,16423,202603
VERTIS,Vertis Infrastructure Trust,16096,202603
AVANTIFEED,Avanti Feeds Ltd,15958,202603
CGCL,Capri Global Capital Ltd,15957,202603
ELITECON,Elitecon International Ltd,15953,202512
BRIGADE,Brigade Enterprises Ltd,15919,202603
ACMESOLAR,ACME Solar Holdings Ltd,15846,202603
,National Securities Depository Ltd,15823,202603
SUNDRMFAST,Sundram Fasteners Ltd,15785,202603
JAINREC,Jain Resource Recycling Ltd,15741,202603
SYNGENE,Syngene International Ltd,15725,202603
BIKAJI,Bikaji Foods International Ltd,15593,202603
REDINGTON,Redington Ltd,15592,202603
CENTURYPLY,Century Plyboards (India) Ltd,15587,202603
CAMS,Computer Age Management Services Ltd,15521,202603
RATNAMANI,Ratnamani Metals & Tubes Ltd,15421,202603
NEULANDLAB,Neuland Laboratories Ltd,15412,202603
GRANULES,Granules India Ltd,15392,202603
CHALET,Chalet Hotels Ltd,15299,202603
VTL,Vardhman Textiles Ltd,15186,202603
KFINTECH,KFin Technologies Ltd,15108,202603
NAVA,Nava Ltd,15033,202603
JSWCEMENT,JSW Cement Ltd,15031,202603
EMMVEE,Emmvee Photovoltaic Power Ltd,14996,202603
GRINDWELL,Grindwell Norton Ltd,14981,202603
SYRMA,Syrma SGS Technology Ltd,14916,202603
TATACHEM,Tata Chemicals Ltd,14856,202603
ELGIEQUIP,Elgi Equipments Ltd,14816,202603
CARBORUNIV,Carborundum Universal Ltd,14790,202603
RRKABEL,R R Kabel Ltd,14668,202603
KAJARIACER,Kajaria Ceramics Ltd,14637,202603
PSB,Punjab & Sind Bank,14624,202603
ANANTRAJ,Anant Raj Ltd,14597,202603
AETHER,Aether Industries Ltd,14525,202603
AARTIIND,Aarti Industries Ltd,14462,202603
FSL,Firstsource Solutions Ltd,14441,202603
CHENNPETRO,Chennai Petroleum Corporation Ltd,14405,202603
CROMPTON,Crompton Greaves Consumer Electricals Ltd,14388,202603
SANOFI,Sanofi India Ltd,14097,202412
TRITURBINE,Triveni Turbine Ltd,13971,202603
BHARATCOAL,Bharat Coking Coal Ltd,13943,202603
ANURAS,Anupam Rasayan India Ltd,13931,202603
DOMS,Doms Industries Ltd,13919,202603
BASF,BASF India Ltd,13915,202603
SPLPETRO,Supreme Petrochem Ltd,13904,202603
CCL,CCL Products (India) Ltd,13864,202603
EIDPARRY,EID Parry (India) Ltd,13789,202603
KSB,KSB Ltd,13788,202603
IGIL,International Gemological Institute Limited,13743,202603
VGUARD,V-Guard Industries Ltd,13740,202603
VINATIORGA,Vinati Organics Ltd,13691,202603
THELEELA,Leela Palaces Hotels & Resorts Ltd,13625,202603
KEC,KEC International Ltd,13620,202603
CHOICEIN,Choice International Ltd,13616,202603
ZYDUSWELL,Zydus Wellness Ltd,13557,202603
KANSAINER,Kansai Nerolac Paints Ltd,13509,202603
PGEL,PG Electroplast Ltd,13427,202603
CANHLIFE,Canara HSBC Life Insurance Company Ltd,13338,202603
TDPOWERSYS,TD Power Systems Ltd,13293,202603
SHRIPISTON,Shriram Pistons & Rings Ltd,13275,202603
,RRP Semiconductor Ltd,13265,202603
GALLANTT,Gallantt Ispat Ltd.,13255,202603
CEATLTD,CEAT Ltd,13115,202603
FRACTAL,Fractal Analytics Ltd,13087,202603
ECLERX,eClerx Services Ltd,13053,202603
INOXWIND,Inox Wind Ltd,13034,202603
APLLTD,Alembic Pharmaceuticals Ltd,13010,202603
JUBLPHARMA,Jubilant Pharmova Ltd,13006,202603
NIVABUPA,Niva Bupa Health Insurance Company Ltd,12954,202603
SANSERA,Sansera Engineering Ltd,12937,202603
JSWDULUX,JSW Dulux Ltd,12937,202603
IFCI,IFCI Ltd,12919,202603
AGARWALEYE,Dr Agarwals Health Care Ltd,12867,202603
VENTIVE,Ventive Hospitality Ltd,12817,202603
LMW,LMW Ltd,12761,202603
RUBICON,Rubicon Research Ltd,12727,202603
SOBHA,Sobha Ltd,12682,202603
MAHSCOOTER,Maharashtra Scooters Ltd,12674,202603
LTFOODS,L T Foods Ltd,12612,202603
JSWHL,JSW Holdings Ltd,12565,202603
ABREL,Aditya Birla Real Estate Ltd,12533,202603
TEGA,Tega Industries Ltd,12440,202603
SAMMAANCAP,Sammaan Capital Ltd,12389,202603
ARE&M,Amara Raja Energy & Mobility Ltd,12312,202603
JBMA,JBM Auto Ltd,12187,202603
J&KBANK,Jammu and Kashmir Bank Ltd,12113,202603
MINDACORP,Minda Corporation Ltd,12112,202603
FINEORG,Fine Organic Industries Ltd,12103,202603
POLYMED,Poly Medicure Ltd,12070,202603
JYOTHYLAB,Jyothy Labs Ltd,12068,202503
GRAPHITE,Graphite India Ltd,12046,202603
UTIAMC,UTI Asset Management Company Ltd,12045,202603
ALIVUS,Alivus Life Sciences Ltd,11957,202603
INDIAMART,Indiamart Intermesh Ltd,11921,202603
USHAMART,Usha Martin Ltd,11906,202603
FINCABLES,Finolex Cables Ltd,11866,202603
GABRIEL,Gabriel India Ltd,11858,202603
RAINBOW,Rainbow Childrens Medicare Ltd,11814,202603
JINDALSAW,Jindal Saw Ltd,11719,202603
ZENSARTECH,Zensar Technologies Ltd,11707,202603
DEVYANI,Devyani International Ltd,11651,202603
COHANCE,Cohance Lifesciences Ltd,11550,202603
ZENTEC,Zen Technologies Ltd,11538,202603
TRIDENT,Trident Ltd,11486,202603
TBOTEK,TBO Tek Ltd,11484,202603
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp Ltd,11480,202603
TECHNOE,Techno Electric & Engineering Company Ltd,11458,202603
CAPLIPOINT,Caplin Point Laboratories Ltd,11441,202603
INTERISE,Interise Trust,11440,202509
BEML,BEML Ltd,11391,202603
ABDL,Allied Blenders & Distillers Ltd,11318,202603
PRIVISCL,Privi Speciality Chemicals Ltd,11312,202603
BLUEDART,Blue Dart Express Ltd,11234,202603
CUPID,Cupid Ltd,11181,202603
PARADEEP,Paradeep Phosphates Ltd,11134,202603
INGERRAND,Ingersoll-Rand (India) Ltd,11044,202603
CMPDI,Central Mine Planning & Design Institute Ltd,10999,202603
JKTYRE,JK Tyre & Industries Ltd,10991,202603
HAPPYFORGE,Happy Forgings Ltd,10924,202603
FIRSTCRY,Brainbees Solutions Ltd,10880,202603
JMFINANCIL,JM Financial Ltd,10860,202603
IRCON,Ircon International Ltd,10849,202603
ABLBL,Aditya Birla Lifestyle Brands Ltd,10747,202603
MTARTECH,MTAR Technologies Ltd,10671,202603
INDIACEM,India Cements Ltd,10670,202603
INOXINDIA,Inox India Ltd,10644,202603
CONCORDBIO,Concord Biotech Ltd,10628,202603
THANGAMAYL,Thangamayil Jewellery Ltd,10628,202603
KIRLOSBROS,Kirloskar Brothers Ltd,10625,202603
CANFINHOME,Can Fin Homes Ltd,10568,202603
BLACKBUCK,Blackbuck Ltd,10481,202603
INDGN,Indegene Ltd,10468,202603
HEG,HEG Ltd,10466,202603
WELSPUNLIV,Welspun Living Ltd,10436,202603
AAVAS,AAVAS Financiers Ltd,10412,202403
FIVESTAR,Five-Star Business Finance Ltd,10409,202603
HFCL,HFCL Ltd,10394,202603
LUMAXTECH,Lumax Auto Technologies Ltd,10383,202603
TI,Tilaknagar Industries Ltd,10285,202603
GODREJAGRO,Godrej Agrovet Ltd,10277,202603
SKFINDUS,SKF India (Industrial) Ltd,10274,202603
ENGINERSIN,Engineers India Ltd,10257,202603
SCI,Shipping Corporation of India Ltd,10238,202603
IEX,Indian Energy Exchange Ltd,10228,202603
JWL,Jupiter Wagons Ltd,10174,202603
OLAELEC,Ola Electric Mobility Ltd,10066,202603
MEDPLUS,Medplus Health Services Ltd,10058,202603
BALRAMCHIN,Balrampur Chini Mills Ltd,10047,202603
NUVOCO,Nuvoco Vistas Corporation Ltd,10041,202603
WHIRLPOOL,Whirlpool of India Ltd,10027,202603
SIGNATURE,SignatureGlobal India Ltd,10025,202603
,Maple Infrastructure Trust,10022,202603
AFCONS,Afcons Infrastructure Ltd,9963,202603
CAMPUS,Campus Activewear Ltd,9895,202206
SANOFICONR,Sanofi Consumer Healthcare India Ltd,9889,202603
UJJIVANSFB,Ujjivan Small Finance Bank Ltd,9817,202603
APTUS,Aptus Value Housing Finance India Ltd,9752,202603
GRAVITA,Gravita India Ltd,9734,202603
NSLNISP,NMDC Steel Ltd,9727,202603
BLS,BLS International Services Ltd,9703,202603
HONASA,Honasa Consumer Ltd,9701,202603
