date,part,side,strike,leg_id,entry_kind,entry_time,entry_cost,sl_level,target_level,exit_time,exit_price,exit_reason,pnl_points,pnl_inr,dte
2025-12-02,P1,PE,84700.0,2025-12-02_P1_PE_84700,REENTRY,2025-12-02 10:29:00+05:30,90.8,113.5,9.08,2025-12-02 15:28:00+05:30,57.95,EOD,32.849999999999994,656.9999999999999,2
2025-12-03,P1,CE,85500.0,2025-12-03_P1_CE_85500,INITIAL,2025-12-03 09:45:00+05:30,61.75,77.1875,6.175000000000001,2025-12-03 15:28:00+05:30,65.0,EOD,-3.25,-65.0,1
2025-12-03,P1,PE,84300.0,2025-12-03_P1_PE_84300,INITIAL,2025-12-03 09:45:00+05:30,46.05,57.5625,4.6049999999999995,2025-12-03 15:28:00+05:30,10.3,EOD,35.75,715.0,1
2025-12-04,P1,CE,85800.0,2025-12-04_P1_CE_85800,INITIAL,2025-12-04 09:45:00+05:30,10.45,13.0625,1.045,2025-12-04 10:21:00+05:30,13.0625,SL,-2.6125000000000007,-52.250000000000014,0
2025-12-04,P1,CE,85800.0,2025-12-04_P1_CE_85800,REENTRY,2025-12-04 11:30:00+05:30,10.45,13.0625,1.045,2025-12-04 14:38:00+05:30,1.045,TARGET,9.405,188.1,0
2025-12-04,P1,PE,84600.0,2025-12-04_P1_PE_84600,INITIAL,2025-12-04 09:45:00+05:30,12.25,15.3125,1.225,2025-12-04 14:26:00+05:30,1.225,TARGET,11.025,220.5,0
2025-12-08,P1,CE,86100.0,2025-12-08_P1_CE_86100,INITIAL,2025-12-08 09:45:00+05:30,174.75,218.4375,17.475,2025-12-08 15:26:00+05:30,64.2,EOD_LAST_AVAILABLE,110.55,2211.0,3
2025-12-08,P1,PE,84900.0,2025-12-08_P1_PE_84900,INITIAL,2025-12-08 09:45:00+05:30,118.5,148.125,11.850000000000001,2025-12-08 10:04:00+05:30,148.125,SL,-29.625,-592.5,3
2025-12-08,P1,PE,84900.0,2025-12-08_P1_PE_84900,REENTRY,2025-12-08 10:15:00+05:30,118.5,148.125,11.850000000000001,2025-12-08 11:01:00+05:30,148.125,SL,-29.625,-592.5,3
2025-12-09,P1,CE,85100.0,2025-12-09_P1_CE_85100,INITIAL,2025-12-09 09:45:00+05:30,152.85,191.0625,15.285,2025-12-09 10:16:00+05:30,191.0625,SL,-38.212500000000006,-764.2500000000001,2
2025-12-09,P1,CE,85100.0,2025-12-09_P1_CE_85100,REENTRY,2025-12-09 10:35:00+05:30,152.85,191.0625,15.285,2025-12-09 11:00:00+05:30,191.0625,SL,-38.212500000000006,-764.2500000000001,2
2025-12-09,P1,PE,83900.0,2025-12-09_P1_PE_83900,INITIAL,2025-12-09 09:45:00+05:30,103.0,128.75,10.3,2025-12-09 15:28:00+05:30,38.45,EOD,64.55,1291.0,2
2025-12-10,P1,CE,85500.0,2025-12-10_P1_CE_85500,INITIAL,2025-12-10 09:45:00+05:30,66.2,82.75,6.620000000000001,2025-12-10 14:50:00+05:30,19.5,EOD_LAST_AVAILABLE,46.7,934.0,1
2025-12-10,P1,PE,84300.0,2025-12-10_P1_PE_84300,INITIAL,2025-12-10 09:45:00+05:30,49.2,61.5,4.920000000000001,2025-12-10 09:49:00+05:30,61.5,SL,-12.299999999999997,-245.99999999999994,1
2025-12-10,P1,PE,84300.0,2025-12-10_P1_PE_84300,REENTRY,2025-12-10 10:03:00+05:30,49.2,61.5,4.920000000000001,2025-12-10 10:49:00+05:30,61.5,SL,-12.299999999999997,-245.99999999999994,1
2025-12-11,P1,CE,84800.0,2025-12-11_P1_CE_84800,INITIAL,2025-12-11 09:45:00+05:30,28.65,35.8125,2.865,2025-12-11 09:48:00+05:30,35.8125,SL,-7.162500000000001,-143.25000000000003,0
2025-12-11,P1,CE,84800.0,2025-12-11_P1_CE_84800,REENTRY,2025-12-11 09:52:00+05:30,28.65,35.8125,2.865,2025-12-11 09:55:00+05:30,35.8125,SL,-7.162500000000001,-143.25000000000003,0
2025-12-11,P1,PE,83600.0,2025-12-11_P1_PE_83600,INITIAL,2025-12-11 09:45:00+05:30,20.75,25.9375,2.075,2025-12-11 13:10:00+05:30,2.85,EOD_LAST_AVAILABLE,17.9,358.0,0
2025-12-15,P1,CE,85400.0,2025-12-15_P1_CE_85400,INITIAL,2025-12-15 09:45:00+05:30,163.65,204.5625,16.365000000000002,2025-12-15 10:02:00+05:30,204.5625,SL,-40.912499999999994,-818.2499999999999,3
2025-12-15,P1,PE,84200.0,2025-12-15_P1_PE_84200,INITIAL,2025-12-15 09:45:00+05:30,123.35,154.1875,12.335,2025-12-15 15:28:00+05:30,58.15,EOD,65.19999999999999,1303.9999999999998,3
2025-12-16,P1,CE,85500.0,2025-12-16_P1_CE_85500,INITIAL,2025-12-16 09:45:00+05:30,106.85,133.5625,10.685,2025-12-16 15:28:00+05:30,38.0,EOD,68.85,1377.0,2
2025-12-16,P1,PE,84300.0,2025-12-16_P1_PE_84300,INITIAL,2025-12-16 09:45:00+05:30,100.0,125.0,10.0,2025-12-16 10:02:00+05:30,125.0,SL,-25.0,-500.0,2
2025-12-16,P1,PE,84300.0,2025-12-16_P1_PE_84300,REENTRY,2025-12-16 10:31:00+05:30,100.0,125.0,10.0,2025-12-16 15:28:00+05:30,98.15,EOD,1.8499999999999943,36.999999999999886,2
2025-12-17,P1,CE,85300.0,2025-12-17_P1_CE_85300,INITIAL,2025-12-17 09:45:00+05:30,57.95,72.4375,5.795000000000001,2025-12-17 15:28:00+05:30,22.25,EOD,35.7,714.0,1
2025-12-17,P1,PE,84100.0,2025-12-17_P1_PE_84100,INITIAL,2025-12-17 09:45:00+05:30,38.4,48.0,3.84,2025-12-17 09:50:00+05:30,48.0,SL,-9.600000000000001,-192.00000000000003,1
2025-12-17,P1,PE,84100.0,2025-12-17_P1_PE_84100,REENTRY,2025-12-17 09:57:00+05:30,38.4,48.0,3.84,2025-12-17 10:03:00+05:30,48.0,SL,-9.600000000000001,-192.00000000000003,1
2025-12-18,P1,CE,84900.0,2025-12-18_P1_CE_84900,INITIAL,2025-12-18 09:45:00+05:30,15.1,18.875,1.51,2025-12-18 10:08:00+05:30,18.875,SL,-3.7750000000000004,-75.5,0
2025-12-18,P1,CE,84900.0,2025-12-18_P1_CE_84900,REENTRY,2025-12-18 13:18:00+05:30,15.1,18.875,1.51,2025-12-18 14:41:00+05:30,1.51,TARGET,13.59,271.8,0
2025-12-18,P1,PE,83700.0,2025-12-18_P1_PE_83700,INITIAL,2025-12-18 09:45:00+05:30,6.95,8.6875,0.6950000000000001,2025-12-18 09:46:00+05:30,8.6875,SL,-1.7374999999999998,-34.75,0
2025-12-18,P1,PE,83700.0,2025-12-18_P1_PE_83700,REENTRY,2025-12-18 09:52:00+05:30,6.95,8.6875,0.6950000000000001,2025-12-18 14:55:00+05:30,0.6950000000000001,TARGET,6.255,125.1,0
2025-12-22,P1,CE,86000.0,2025-12-22_P1_CE_86000,INITIAL,2025-12-22 09:45:00+05:30,84.45,105.5625,8.445,2025-12-22 15:28:00+05:30,80.15,EOD,4.299999999999997,85.99999999999994,2
2025-12-22,P1,PE,84800.0,2025-12-22_P1_PE_84800,INITIAL,2025-12-22 09:45:00+05:30,79.9,99.875,7.990000000000001,2025-12-22 15:28:00+05:30,57.7,EOD,22.200000000000003,444.00000000000006,2
2025-12-23,P1,CE,86000.0,2025-12-23_P1_CE_86000,INITIAL,2025-12-23 09:45:00+05:30,38.85,48.5625,3.8850000000000002,2025-12-23 09:56:00+05:30,48.5625,SL,-9.712499999999999,-194.24999999999997,1
2025-12-23,P1,CE,86000.0,2025-12-23_P1_CE_86000,REENTRY,2025-12-23 11:40:00+05:30,38.85,48.5625,3.8850000000000002,2025-12-23 14:15:00+05:30,48.5625,SL,-9.712499999999999,-194.24999999999997,1
2025-12-23,P1,PE,84800.0,2025-12-23_P1_PE_84800,INITIAL,2025-12-23 09:45:00+05:30,51.75,64.6875,5.175000000000001,2025-12-23 15:28:00+05:30,12.7,EOD,39.05,781.0,1
2025-12-24,P1,CE,86200.0,2025-12-24_P1_CE_86200,INITIAL,2025-12-24 09:45:00+05:30,4.0,5.0,0.4,2025-12-24 14:50:00+05:30,0.4,TARGET,3.6,72.0,0
2025-12-24,P1,PE,85000.0,2025-12-24_P1_PE_85000,INITIAL,2025-12-24 09:45:00+05:30,6.35,7.9375,0.635,2025-12-24 14:59:00+05:30,0.635,TARGET,5.715,114.3,0
