date,instrument,expiry_date,option_type,strike,strike_offset,pair_high,pair_low,pair_bar1_time,pair_bar2_time,range_size,sl_spot,tp_spot,trigger_time,spot_at_trigger,trigger_option_close,entry_time,spot_at_entry,entry_price,exit_time,spot_at_exit,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2026-04-07,NIFTY,2026-04-07,CE,22950,0,22927.15,22912.5,12:59,13:00,14.650000000001455,22912.5,22944.730000000003,13:02,22930.5,49.6,13:03,22931.3,49.8,13:10,22914.1,43.45,SL,-6.349999999999994,-412.74999999999966,65
2026-04-07,NIFTY,2026-04-07,CE,22950,0,22919.4,22906.15,13:09,13:10,13.25,22906.15,22935.300000000003,13:11,22927.55,44.3,13:12,22928.25,44.15,13:14,22951.2,56.7,TP,12.550000000000004,815.7500000000002,65
2026-04-07,NIFTY,2026-04-07,CE,22950,0,22956.05,22930.8,13:13,13:14,25.25,22930.8,22986.35,13:17,22957.45,62.15,13:18,22958.55,61.7,13:32,22987.6,80.55,TP,18.849999999999994,1225.2499999999995,65
2026-04-07,NIFTY,2026-04-07,CE,23050,0,23023.45,22981.95,13:31,13:32,41.5,22981.95,23073.25,13:33,23025.25,52.05,13:34,23026.55,51.25,13:58,22980.2,26.05,SL,-25.2,-1638.0,65
2026-04-07,NIFTY,2026-04-07,CE,23000,0,22984.75,22960.05,13:58,13:59,24.700000000000728,22960.05,23014.39,14:01,22998.4,47.75,14:02,23000.6,49.1,14:03,23014.05,54.35,TP,5.25,341.25,65
2026-04-07,NIFTY,2026-04-07,PE,23000,0,23020.55,22997.95,14:02,14:03,22.599999999998545,23020.55,22970.83,14:07,22993.9,47.65,14:08,22996.35,46.4,14:16,23019.6,36.5,SL,-9.899999999999999,-643.4999999999999,65
2026-04-07,NIFTY,2026-04-07,PE,23000,0,23026.15,23009.3,14:15,14:16,16.850000000002183,23026.15,22989.079999999998,14:17,23009.25,35.4,14:18,23010.5,35.65,14:24,22989.5,44.0,TP,8.350000000000001,542.7500000000001,65
2026-04-07,NIFTY,2026-04-07,CE,23000,0,23011.8,22982.15,14:23,14:24,29.649999999997817,22982.15,23047.379999999997,14:27,23022.1,56.05,14:28,23023.3,56.1,14:32,23049.95,75.55,TP,19.449999999999996,1264.2499999999998,65
2026-04-07,NIFTY,2026-04-07,PE,23000,0,23049.95,23015.95,14:31,14:32,34.0,23049.95,22975.15,14:36,23005.6,30.0,14:37,23007.05,29.45,14:45,23032.5,13.75,EOD,-15.7,-1020.5,65
2026-04-08,NIFTY,2026-04-13,CE,24150,4,23938.85,23828.5,09:15,09:16,110.34999999999854,23828.5,24071.269999999997,09:46,23941.7,138.65,09:47,23943.1,138.4,14:45,24007.05,154.05,EOD,15.650000000000006,1017.2500000000003,65
2026-04-09,NIFTY,2026-04-13,CE,24050,2,23922.6,23815.15,09:15,09:16,107.44999999999709,23815.15,24051.539999999994,09:19,23935.65,139.1,09:20,23932.0,138.4,09:51,23809.55,112.9,SL,-25.5,-1657.5,65
2026-04-09,NIFTY,2026-04-13,PE,23650,-3,23822.95,23794.95,09:51,09:52,28.0,23822.95,23761.350000000002,09:56,23794.2,143.95,09:57,23793.5,144.35,10:01,23782.9,152.1,TP,7.75,503.75,65
2026-04-09,NIFTY,2026-04-13,CE,23950,3,23802.05,23759.45,10:00,10:01,42.599999999998545,23759.45,23853.17,10:02,23808.3,152.05,10:03,23808.9,151.65,10:19,23862.25,169.35,TP,17.69999999999999,1150.4999999999993,65
2026-04-09,NIFTY,2026-04-13,PE,23700,-3,23870.7,23859.65,10:19,10:20,11.049999999999272,23870.7,23846.390000000003,10:21,23857.4,136.7,10:22,23857.8,137.05,10:23,23844.8,140.8,SL,3.75,243.75,65
2026-04-09,NIFTY,2026-04-13,PE,23700,-3,23871.35,23843.5,10:22,10:23,27.849999999998545,23871.35,23810.08,10:26,23827.8,149.0,10:27,23828.4,149.95,10:37,23846.8,139.75,SL,-10.199999999999989,-662.9999999999993,65
2026-04-09,NIFTY,2026-04-13,PE,23700,-3,23872.2,23839.8,10:36,10:37,32.400000000001455,23872.2,23800.92,10:38,23832.8,147.6,10:39,23832.45,147.55,11:34,23859.05,132.05,SL,-15.5,-1007.5,65
2026-04-09,NIFTY,2026-04-13,CE,24000,3,23859.6,23847.7,11:35,11:36,11.899999999997817,23847.7,23873.879999999997,11:41,23869.65,144.35,11:42,23869.6,144.45,11:49,23874.6,145.45,TP,1.0,65.0,65
2026-04-09,NIFTY,2026-04-13,CE,24050,3,23889.05,23870.5,11:49,11:50,18.549999999999272,23870.5,23911.309999999998,11:55,23895.2,133.4,11:56,23894.5,133.4,12:05,23875.75,125.0,SL,-8.400000000000006,-546.0000000000003,65
2026-04-09,NIFTY,2026-04-13,CE,24000,2,23878.45,23860.25,12:05,12:06,18.200000000000728,23860.25,23900.29,12:07,23883.65,148.55,12:08,23883.55,147.9,12:10,23899.85,154.4,TP,6.5,422.5,65
2026-04-09,NIFTY,2026-04-13,PE,23800,-2,23907.3,23894.05,12:10,12:11,13.25,23907.3,23878.149999999998,12:12,23889.2,149.4,12:13,23888.9,149.4,12:15,23881.05,152.75,TP,3.3499999999999943,217.74999999999963,65
2026-04-09,NIFTY,2026-04-13,PE,23750,-2,23883.0,23874.8,12:15,12:16,8.200000000000728,23883.0,23864.96,12:18,23873.65,137.4,12:19,23874.0,137.25,12:22,23877.95,135.2,SL,-2.0500000000000114,-133.25000000000074,65
2026-04-09,NIFTY,2026-04-13,PE,23750,-2,23882.0,23873.7,12:22,12:23,8.299999999999272,23882.0,23863.74,12:24,23869.5,140.95,12:25,23868.55,140.65,12:26,23857.25,146.05,TP,5.400000000000006,351.00000000000034,65
2026-04-09,NIFTY,2026-04-13,CE,24000,2,23870.65,23855.4,12:25,12:26,15.25,23855.4,23888.95,12:28,23875.6,146.45,12:29,23875.9,146.8,12:38,23856.85,137.5,SL,-9.300000000000011,-604.5000000000007,65
