instrument,direction,option_type,strike,expiry_type,expiry_code,signal_time,base_price,parts_filled,total_levels,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price
NIFTY,sell,STRADDLE,25850.0,MONTH,1,2025-12-10 11:37:00+05:30,487.0,1,1,487.0,2025-12-10 11:48:00+05:30,482.05,TARGET,4.949999999999989,1.0164271047227902,371.24999999999915,75,CLOSED,25850.0,25850.0,296.95,190.05,289.0,193.05
NIFTY,sell,STRADDLE,25800.0,MONTH,1,2025-12-10 13:16:00+05:30,483.6,1,1,483.6,2025-12-10 14:10:00+05:30,478.2,TARGET,5.400000000000034,1.1166253101737043,405.00000000000256,75,CLOSED,25800.0,25800.0,297.6,186.0,275.7,202.5
NIFTY,sell,STRADDLE,25800.0,MONTH,1,2025-12-11 10:15:00+05:30,470.04999999999995,1,1,470.04999999999995,2025-12-11 10:59:00+05:30,464.5,TARGET,5.5499999999999545,1.180725454738848,416.2499999999966,75,CLOSED,25800.0,25800.0,308.4,161.65,292.55,171.95
NIFTY,sell,STRADDLE,25800.0,MONTH,1,2025-12-11 11:20:00+05:30,468.35,1,1,468.35,2025-12-11 12:03:00+05:30,481.65,STOP_LOSS,-13.299999999999955,-2.8397565922920793,-997.4999999999966,75,CLOSED,25800.0,25800.0,308.05,160.3,338.25,143.4
NIFTY,sell,STRADDLE,25900.0,MONTH,1,2025-12-11 12:27:00+05:30,462.75,1,1,462.75,2025-12-11 12:39:00+05:30,456.79999999999995,TARGET,5.9500000000000455,1.2857914640734835,446.2500000000034,75,CLOSED,25900.0,25900.0,295.75,167.0,281.15,175.65
NIFTY,sell,STRADDLE,25900.0,MONTH,1,2025-12-11 14:20:00+05:30,451.45,1,1,451.45,2025-12-11 14:42:00+05:30,446.54999999999995,TARGET,4.900000000000034,1.0853915162255032,367.50000000000256,75,CLOSED,25900.0,25900.0,285.7,165.75,277.4,169.15
NIFTY,sell,STRADDLE,26000.0,MONTH,1,2025-12-12 11:10:00+05:30,425.45,1,1,425.45,2025-12-12 11:39:00+05:30,421.05,TARGET,4.399999999999977,1.0341990833235344,329.9999999999983,75,CLOSED,26000.0,26000.0,265.45,160.0,268.1,152.95
NIFTY,sell,STRADDLE,26050.0,MONTH,1,2025-12-12 14:06:00+05:30,414.9,1,1,414.9,2025-12-12 14:15:00+05:30,410.65,TARGET,4.25,1.0243432152325862,318.75,75,CLOSED,26050.0,26050.0,256.7,158.2,254.65,156.0
NIFTY,sell,STRADDLE,26000.0,MONTH,1,2025-12-15 10:55:00+05:30,400.7,1,1,400.7,2025-12-15 10:59:00+05:30,396.54999999999995,TARGET,4.150000000000034,1.0356875467931206,311.25000000000256,75,CLOSED,26000.0,26000.0,238.0,162.7,229.95,166.6
NIFTY,sell,STRADDLE,26000.0,MONTH,1,2025-12-15 11:51:00+05:30,395.1,1,1,395.1,2025-12-15 12:23:00+05:30,405.15000000000003,STOP_LOSS,-10.050000000000011,-2.5436598329536855,-753.7500000000009,75,CLOSED,26000.0,26000.0,245.0,150.1,259.35,145.8
NIFTY,sell,STRADDLE,25950.0,MONTH,2,2025-12-16 09:41:00+05:30,729.7,1,1,729.7,2025-12-16 09:45:00+05:30,717.65,TARGET,12.050000000000068,1.6513635740715455,903.7500000000051,75,CLOSED,25950.0,25950.0,479.95,249.75,472.7,244.95
NIFTY,sell,STRADDLE,25900.0,MONTH,2,2025-12-16 11:00:00+05:30,731.1,1,1,731.1,2025-12-16 11:04:00+05:30,722.75,TARGET,8.350000000000023,1.142114621802766,626.2500000000017,75,CLOSED,25900.0,25900.0,491.3,239.8,485.55,237.2
NIFTY,sell,STRADDLE,25900.0,MONTH,2,2025-12-16 13:38:00+05:30,721.65,1,1,721.65,2025-12-16 14:02:00+05:30,713.15,TARGET,8.5,1.1778563015312131,637.5,75,CLOSED,25900.0,25900.0,484.9,236.75,477.15,236.0
