time,open,high,low,close,Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Bars (Open),Bars (High,Bars (Low),Bars (Close)
2026-03-24T13:33:00+05:30,23030.45,23054.05,23023.15,23052,23014.28911681143,23054.05,23014.28911681143,23039.9125,23014.28911681143,23054.05,23014.28911681143,23039.9125
2026-03-24T13:36:00+05:30,23051.75,23057.05,23028.55,23030.25,23027.100808405714,23057.05,23027.100808405714,23041.9,23027.100808405714,23057.05,23027.100808405714,23041.9
2026-03-24T13:39:00+05:30,23030.2,23040.15,23021.7,23039.7,23034.50040420286,23040.15,23021.7,23032.9375,23034.50040420286,23040.15,23021.7,23032.9375
2026-03-24T13:42:00+05:30,23038.95,23057.3,23030.9,23037.5,23033.71895210143,23057.3,23030.9,23041.1625,23033.71895210143,23057.3,23030.9,23041.1625
2026-03-24T13:45:00+05:30,23037.6,23047.9,23010.1,23011.2,23037.440726050714,23047.9,23010.1,23026.7,23037.440726050714,23047.9,23010.1,23026.7
2026-03-24T13:48:00+05:30,23011.15,23013.5,22962.9,22969.15,23032.070363025356,23032.070363025356,22962.9,22989.175000000003,23032.070363025356,23032.070363025356,22962.9,22989.175000000003
2026-03-24T13:51:00+05:30,22970.1,22992.55,22950.6,22987.5,23010.62268151268,23010.62268151268,22950.6,22975.1875,23010.62268151268,23010.62268151268,22950.6,22975.1875
2026-03-24T13:54:00+05:30,22988.55,22996.55,22971.3,22982.15,22992.90509075634,22996.55,22971.3,22984.637499999997,22992.90509075634,22996.55,22971.3,22984.637499999997
2026-03-24T13:57:00+05:30,22981.6,22993.3,22972,22976.2,22988.771295378167,22993.3,22972,22980.774999999998,22988.771295378167,22993.3,22972,22980.774999999998
2026-03-24T14:00:00+05:30,22975.25,22993.75,22954.25,22980.8,22984.773147689084,22993.75,22954.25,22976.0125,22984.773147689084,22993.75,22954.25,22976.0125
2026-03-24T14:03:00+05:30,22980.2,22988.6,22965.3,22987.15,22980.392823844544,22988.6,22965.3,22980.3125,22980.392823844544,22988.6,22965.3,22980.3125
2026-03-24T14:06:00+05:30,22986.45,22992.4,22963.5,22964.75,22980.352661922272,22992.4,22963.5,22976.775,22980.352661922272,22992.4,22963.5,22976.775
2026-03-24T14:09:00+05:30,22965.2,22995.75,22957.15,22987.9,22978.56383096114,22995.75,22957.15,22976.5,22978.56383096114,22995.75,22957.15,22976.5
2026-03-24T14:12:00+05:30,22987.45,22995,22971.75,22992.35,22977.53191548057,22995,22971.75,22986.637499999997,22977.53191548057,22995,22971.75,22986.637499999997
2026-03-24T14:15:00+05:30,22993.2,23037.9,22990.45,23019.15,22982.084707740283,23037.9,22982.084707740283,23010.175000000003,22982.084707740283,23037.9,22982.084707740283,23010.175000000003
2026-03-24T14:18:00+05:30,23019.45,23019.75,22979.8,22980.95,22996.129853870145,23019.75,22979.8,22999.9875,22996.129853870145,23019.75,22979.8,22999.9875
2026-03-24T14:21:00+05:30,22981.75,22981.8,22920,22959.55,22998.05867693507,22998.05867693507,22920,22960.775,22998.05867693507,22998.05867693507,22920,22960.775
2026-03-24T14:24:00+05:30,22960.35,22974.1,22932.35,22934.35,22979.416838467536,22979.416838467536,22932.35,22950.2875,22979.416838467536,22979.416838467536,22932.35,22950.2875
2026-03-24T14:27:00+05:30,22935.65,22954.25,22932.8,22945.6,22964.852169233767,22964.852169233767,22932.8,22942.074999999997,22964.852169233767,22964.852169233767,22932.8,22942.074999999997
2026-03-24T14:30:00+05:30,22945.1,22959.4,22926.4,22958.8,22953.463584616882,22959.4,22926.4,22947.425,22953.463584616882,22959.4,22926.4,22947.425
2026-03-24T14:33:00+05:30,22957.75,22958.2,22939.55,22948.15,22950.444292308443,22958.2,22939.55,22950.9125,22950.444292308443,22958.2,22939.55,22950.9125
2026-03-24T14:36:00+05:30,22948.55,22948.9,22893.3,22897.35,22950.67839615422,22950.67839615422,22893.3,22922.025,22950.67839615422,22950.67839615422,22893.3,22922.025
2026-03-24T14:39:00+05:30,22897.6,22905.2,22882.65,22900.3,22936.35169807711,22936.35169807711,22882.65,22896.437500000004,22936.35169807711,22936.35169807711,22882.65,22896.437500000004
2026-03-24T14:42:00+05:30,22900.55,22931.95,22898.35,22909.65,22916.394599038555,22931.95,22898.35,22910.125,22916.394599038555,22931.95,22898.35,22910.125
2026-03-24T14:45:00+05:30,22909.25,22917.75,22901.6,22911.25,22913.259799519277,22917.75,22901.6,22909.9625,22913.259799519277,22917.75,22901.6,22909.9625
2026-03-24T14:48:00+05:30,22912.5,22917.6,22904.55,22909.05,22911.61114975964,22917.6,22904.55,22910.925,22911.61114975964,22917.6,22904.55,22910.925
2026-03-24T14:51:00+05:30,22908.05,22911.7,22887.4,22887.4,22911.26807487982,22911.7,22887.4,22898.637499999997,22911.26807487982,22911.7,22887.4,22898.637499999997
