time,open,high,low,close,EMA 126,Upper Band,Lower Band
2026-05-07T10:39:00+05:30,24361.3,24368.25,24358.7,24366.55,24226.29322528784,24251.29322528784,24201.29322528784
2026-05-07T10:42:00+05:30,24365.8,24374.85,24364.8,24373.45,24228.61065481087,24253.61065481087,24203.61065481087
2026-05-07T10:45:00+05:30,24372.5,24379.05,24356.3,24358,24230.64828229416,24255.64828229416,24205.64828229416
2026-05-07T10:48:00+05:30,24358.05,24371.3,24350.05,24350.7,24232.53886052575,24257.53886052575,24207.53886052575
2026-05-07T10:51:00+05:30,24350.5,24352.1,24332.45,24334.95,24234.15163437574,24259.15163437574,24209.15163437574
2026-05-07T10:54:00+05:30,24335.4,24353.05,24335.15,24342.3,24235.854758243837,24260.854758243837,24210.854758243837
2026-05-07T10:57:00+05:30,24342.35,24344.1,24334.4,24340.85,24237.50822661795,24262.50822661795,24212.50822661795
2026-05-07T11:00:00+05:30,24341,24343.75,24331.25,24336,24239.05927816727,24264.05927816727,24214.05927816727
2026-05-07T11:03:00+05:30,24335.75,24340.25,24330.1,24334.85,24240.567793471724,24265.567793471724,24215.567793471724
2026-05-07T11:06:00+05:30,24334.7,24336.5,24316.15,24318.3,24241.79192270839,24266.79192270839,24216.79192270839
2026-05-07T11:09:00+05:30,24318.75,24322.05,24313.85,24321.5,24243.04716802007,24268.04716802007,24218.04716802007
2026-05-07T11:12:00+05:30,24320.65,24322.15,24310.05,24317.75,24244.223590570935,24269.223590570935,24219.223590570935
2026-05-07T11:15:00+05:30,24318.2,24332.25,24316.25,24318.5,24245.393297806037,24270.393297806037,24220.393297806037
2026-05-07T11:18:00+05:30,24318.6,24327,24307.05,24308.8,24246.391828549247,24271.391828549247,24221.391828549247
2026-05-07T11:21:00+05:30,24308.4,24312.15,24293.05,24307.6,24247.35573676107,24272.35573676107,24222.35573676107
2026-05-07T11:24:00+05:30,24307,24310.7,24294.45,24294.85,24248.103677914438,24273.103677914438,24223.103677914438
2026-05-07T11:27:00+05:30,24295.3,24307,24289.45,24306.45,24249.022517632322,24274.022517632322,24224.022517632322
2026-05-07T11:30:00+05:30,24306.95,24349.8,24306.35,24343.15,24250.504840189293,24275.504840189293,24225.504840189293
2026-05-07T11:33:00+05:30,24342.95,24343.95,24316.05,24318.15,24251.57011829655,24276.57011829655,24226.57011829655
2026-05-07T11:36:00+05:30,24318.1,24322.55,24313.35,24317.75,24252.61232115802,24277.61232115802,24227.61232115802
2026-05-07T11:39:00+05:30,24317.9,24318.8,24308.85,24311.15,24253.53417436813,24278.53417436813,24228.53417436813
2026-05-07T11:42:00+05:30,24311.35,24313.25,24288.1,24288.5,24254.084817291467,24279.084817291467,24229.084817291467
2026-05-07T11:45:00+05:30,24287.8,24296.55,24284,24290.75,24254.66222174357,24279.66222174357,24229.66222174357
2026-05-07T11:48:00+05:30,24289.7,24316.25,24289.1,24313.8,24255.593525338158,24280.593525338158,24230.593525338158
2026-05-07T11:51:00+05:30,24313.75,24331.6,24313.3,24324.95,24256.685753285587,24281.685753285587,24231.685753285587
2026-05-07T11:54:00+05:30,24325.2,24330.35,24320.35,24323.35,24257.735583942507,24282.735583942507,24232.735583942507
2026-05-07T11:57:00+05:30,24322.95,24346.85,24322.3,24340.55,24259.039747974908,24284.039747974908,24234.039747974908
2026-05-07T12:00:00+05:30,24339.7,24369.9,24339.7,24362.85,24260.674555093414,24285.674555093414,24235.674555093414
2026-05-07T12:03:00+05:30,24364.1,24368.55,24353.75,24359.55,24262.23164871399,24287.23164871399,24237.23164871399
2026-05-07T12:06:00+05:30,24359.05,24367.65,24352.9,24359.8,24263.768158183062,24288.768158183062,24238.768158183062
2026-05-07T12:09:00+05:30,24360.05,24369.2,24357.5,24363.3,24265.335588762857,24290.335588762857,24240.335588762857
2026-05-07T12:12:00+05:30,24363.5,24367.65,24350.15,24361.55,24266.850776341395,24291.850776341395,24241.850776341395
2026-05-07T12:15:00+05:30,24362.45,24383.65,24362.4,24381.85,24268.661787737594,24293.661787737594,24243.661787737594
2026-05-07T12:18:00+05:30,24382.15,24383.6,24364.1,24377.75,24270.379712340153,24295.379712340153,24245.379712340153
2026-05-07T12:21:00+05:30,24377.5,24381.6,24371.75,24378.35,24272.080031830857,24297.080031830857,24247.080031830857
2026-05-07T12:24:00+05:30,24379.8,24381.4,24373.8,24375.35,24273.706330542183,24298.706330542183,24248.706330542183
2026-05-07T12:27:00+05:30,24374.1,24381,24355.15,24355.15,24274.98890801396,24299.98890801396,24249.98890801396
2026-05-07T12:30:00+05:30,24355.25,24358.85,24343.75,24346.75,24276.119003950746,24301.119003950746,24251.119003950746
2026-05-07T12:33:00+05:30,24345.05,24348.6,24329.7,24344.5,24277.19587003026,24302.19587003026,24252.19587003026
2026-05-07T12:36:00+05:30,24344.85,24420.75,24339.5,24412.4,24279.32506892742,24304.32506892742,24254.32506892742
2026-05-07T12:39:00+05:30,24412.2,24463.95,24411.5,24458.2,24282.141996975806,24307.141996975806,24257.141996975806
2026-05-07T12:42:00+05:30,24455.4,24482.1,24455.4,24463.15,24284.99251670847,24309.99251670847,24259.99251670847
2026-05-07T12:45:00+05:30,24462.85,24471.6,24437.6,24454.25,24287.657988886287,24312.657988886287,24262.657988886287
2026-05-07T12:48:00+05:30,24455.55,24460.65,24434.5,24435.15,24289.980697722724,24314.980697722724,24264.980697722724
2026-05-07T12:51:00+05:30,24434.2,24435.65,24394.85,24394.85,24291.632182797955,24316.632182797955,24266.632182797955
2026-05-07T12:54:00+05:30,24395,24414.75,24377.7,24395.2,24293.26317204523,24318.26317204523,24268.26317204523
2026-05-07T12:57:00+05:30,24396.5,24398.15,24381.05,24388.25,24294.759027603573,24319.759027603573,24269.759027603573
2026-05-07T13:00:00+05:30,24387.65,24411.05,24386.45,24397.75,24296.380932680684,24321.380932680684,24271.380932680684
2026-05-07T13:03:00+05:30,24396.8,24410.75,24395.55,24405.85,24298.104855000674,24323.104855000674,24273.104855000674
2026-05-07T13:06:00+05:30,24406.2,24420.55,24394.25,24396.95,24299.661471457355,24324.661471457355,24274.661471457355
2026-05-07T13:09:00+05:30,24397.15,24397.3,24382.6,24384.7,24301.000660883223,24326.000660883223,24276.000660883223
2026-05-07T13:12:00+05:30,24384.25,24392.35,24376.9,24389.7,24302.397500869312,24327.397500869312,24277.397500869312
2026-05-07T13:15:00+05:30,24388.65,24399.5,24378.05,24379.05,24303.604626839875,24328.604626839875,24278.604626839875
2026-05-07T13:18:00+05:30,24374.1,24374.8,24324.55,24367.9,24304.617152401453,24329.617152401453,24279.617152401453
