time,open,high,low,close,WMA44 (15m),Long,Short
2026-05-25T10:30:00+05:30,23960.9,23992.4,23959.2,23987.4,23809.46656565656,0,0
2026-05-25T10:45:00+05:30,23989,23995.9,23972.65,23978.15,23818.963333333337,0,0
2026-05-25T11:00:00+05:30,23979.55,23989.9,23970.65,23987.6,23828.56237373737,0,0
2026-05-25T11:15:00+05:30,23989,23989,23971.1,23977.15,23837.345656565656,0,0
2026-05-25T11:30:00+05:30,23978.45,23990.45,23959.9,23980.95,23845.94146464646,0,0
2026-05-25T11:45:00+05:30,23982.15,23992.7,23978.15,23986.6,23854.44454545455,0,0
2026-05-25T12:00:00+05:30,23988.15,23988.15,23960.1,23963.9,23861.580252525255,0,0
2026-05-25T12:15:00+05:30,23965.75,23968.7,23955.9,23956.5,23868.101616161613,0,0
2026-05-25T12:30:00+05:30,23957.85,23967.65,23952.6,23958.55,23874.428030303032,0,0
2026-05-25T12:45:00+05:30,23960.05,23960.6,23935.6,23954.4,23880.259949494946,0,0
2026-05-25T13:00:00+05:30,23955.55,23983.6,23947.3,23977.2,23886.800252525252,0,0
2026-05-25T13:15:00+05:30,23979.1,23986.25,23975.15,23984.1,23893.338787878794,0,0
2026-05-25T13:30:00+05:30,23986.55,23991,23963.8,23963.95,23898.673888888887,0,0
2026-05-25T13:45:00+05:30,23965.65,23977.4,23962.2,23965.35,23903.74318181818,0,0
2026-05-25T14:00:00+05:30,23966.95,23978.55,23956.7,23958.55,23908.19050505051,0,0
2026-05-25T14:15:00+05:30,23959.95,23982.85,23955.25,23978.15,23913.286767676767,0,0
2026-05-25T14:30:00+05:30,23979,24009.3,23976.45,24007.8,23919.473333333335,0,0
2026-05-25T14:45:00+05:30,24010.25,24036.8,24007.4,24035,23926.638333333332,0,0
2026-05-25T15:00:00+05:30,24035.75,24038.1,24021.5,24035.25,23933.568686868686,0,0
2026-05-25T15:15:00+05:30,24035.85,24054.45,24021.1,24049.9,23940.873585858586,0,0
2026-05-26T09:15:00+05:30,24004.25,24041.25,23965.7,24034.1,23947.216464646463,0,0
2026-05-26T09:30:00+05:30,24034.4,24077.2,24018.95,24062.3,23954.55676767677,0,0
2026-05-26T09:45:00+05:30,24062.4,24065.7,24014.55,24028.75,23960.11232323232,0,0
2026-05-26T10:00:00+05:30,24029.75,24064.1,24021.2,24063,23966.917525252527,0,0
2026-05-26T10:15:00+05:30,24063.05,24076.15,24045.2,24071.4,23973.838737373742,0,0
2026-05-26T10:30:00+05:30,24070,24089.8,24066.85,24073.15,23980.56848484848,0,0
2026-05-26T10:45:00+05:30,24073.95,24082.65,24065.3,24071.85,23986.963131313132,0,0
2026-05-26T11:00:00+05:30,24070.7,24082.65,24065.45,24069.3,23992.944343434345,0,0
2026-05-26T11:15:00+05:30,24068.85,24070.75,24044.8,24044.8,23997.557171717166,0,0
2026-05-26T11:30:00+05:30,24044.95,24071.9,24026.2,24063.15,24002.76601010102,0,0
2026-05-26T11:45:00+05:30,24062.35,24066.95,24032.6,24039.95,24006.69722222222,0,0
2026-05-26T12:00:00+05:30,24040.2,24043.65,24018.5,24022.1,24009.602222222216,0,0
2026-05-26T12:15:00+05:30,24022.3,24040.8,24017.45,24021.9,24012.27525252525,0,0
2026-05-26T12:30:00+05:30,24021.85,24036.4,24006.05,24010.15,24014.193989898988,0,0
2026-05-26T12:45:00+05:30,24010,24012.3,23971.6,23998.55,24015.362878787877,0,0
2026-05-26T13:00:00+05:30,23998.65,24001.95,23966.2,23974.35,24015.19434343434,0,0
2026-05-26T13:15:00+05:30,23974.9,23991.25,23958.55,23987.5,24015.342272727274,0,0
2026-05-26T13:30:00+05:30,23987.45,23999.25,23957.4,23958.5,24013.93560606061,0,0
2026-05-26T13:45:00+05:30,23957.15,23970.1,23934.1,23937.2,24011.339494949498,0,0
2026-05-26T14:00:00+05:30,23937.35,23940.1,23909.8,23924.2,24007.975353535352,0,0
2026-05-26T14:15:00+05:30,23924.25,23940.7,23907.1,23922.6,24004.598080808075,0,0
2026-05-26T14:30:00+05:30,23923,23934,23895.3,23898.2,24000.161515151518,0,0
