symbol,company_name,market_cap_cr
UNITDSPR,United Spirits Ltd,88668
ZYDUSLIFE,Zydus Lifesciences Ltd,87663
LENSKART,Lenskart Solutions Ltd,86925
BHEL,Bharat Heavy Electricals Ltd,85502
ICICIGI,ICICI Lombard General Insurance Company Ltd,85265
BOSCHLTD,Bosch Ltd,84744
MAZDOCK,Mazagon Dock Shipbuilders Ltd,83264
SHREECEM,Shree Cement Ltd,83058
JSWENERGY,JSW Energy Ltd,83006
MANKIND,Mankind Pharma Ltd,82807
INDHOTEL,Indian Hotels Co Ltd,81242
RECLTD,REC Ltd,80353
BHARATFORG,Bharat Forge Ltd,80130
NTPCGREEN,NTPC Green Energy Ltd,77910
OIL,Oil India Ltd,77321
PERSISTENT,Persistent Systems Ltd,76796
ABCAPITAL,Aditya Birla Capital Ltd,76558
AUROPHARMA,Aurobindo Pharma Ltd,75690
BHARTIHEXA,Bharti Hexacom Ltd,75190
HAVELLS,Havells India Ltd,74700
NHPC,NHPC Ltd,74012
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,73739
DABUR,Dabur India Ltd,72792
SRF,SRF Ltd,72245
SWIGGY,Swiggy Ltd,71727
LLOYDSME,Lloyds Metals & Energy Ltd,71513
HINDPETRO,Hindustan Petroleum Corporation Ltd,71335
NATIONALUM,National Aluminium Company Ltd,70949
LODHA,Lodha Developers Ltd,67612
NYKAA,FSN E-Commerce Ventures Ltd,67343
NMDC,NMDC Ltd,67055
IDBI,IDBI Bank Ltd,66127
POLICYBZR,PB Fintech Ltd,66082
TORNTPOWER,Torrent Power Ltd,65822
MEESHO,Meesho Ltd,64171
FEDERALBNK,Federal Bank Ltd,63911
GICRE,General Insurance Corporation of India,63606
ALKEM,Alkem Laboratories Ltd,63409
NAUKRI,Info Edge (India) Ltd,63292
AUBANK,AU Small Finance Bank Ltd,63060
SAIL,Steel Authority of India Ltd,62516
BANKINDIA,Bank of India,62394
PAYTM,One 97 Communications Ltd,61358
MCX,Multi Commodity Exchange of India Ltd,60944
BAJAJHFL,Bajaj Housing Finance Ltd,60901
IOB,Indian Overseas Bank,60466
SBICARD,SBI Cards & Payment Services Ltd,60455
GLENMARK,Glenmark Pharmaceuticals Ltd,60202
LTF,L&T Finance Ltd,60155
SCHAEFFLER,Schaeffler India Ltd,60094
FORTIS,Fortis Healthcare Ltd,59989
UNOMINDA,Uno Minda Ltd,59448
DIXON,Dixon Technologies (India) Ltd,58792
INDUSINDBK,IndusInd Bank Ltd,58651
JSL,Jindal Stainless Ltd,58546
OFSS,Oracle Financial Services Software Ltd,58542
BIOCON,Biocon Ltd,58490
LINDEINDIA,Linde India Ltd,58063
COROMANDEL,Coromandel International Ltd,56391
ATGL,Adani Total Gas Ltd,56068
ABBOTINDIA,Abbott India Ltd,55086
MRF,MRF Ltd,54464
YESBANK,Yes Bank Ltd,54130
SUZLON,Suzlon Energy Ltd,53833
PHOENIXLTD,Phoenix Mills Ltd,53829
APLAPOLLO,APL Apollo Tubes Ltd,53792
LAURUSLABS,Laurus Labs Ltd,53546
RVNL,Rail Vikas Nigam Ltd,52053
OBEROIRLTY,Oberoi Realty Ltd,51526
MFSL,Max Financial Services Ltd,51489
NAM-INDIA,Nippon Life India Asset Management Ltd,51305
IDFCFIRSTB,IDFC First Bank Ltd,50595
JSWINFRA,JSW Infrastructure Ltd,50516
KRT,Knowledge Realty Trust,50313
PATANJALI,Patanjali Foods Ltd,49917
VMM,Vishal Mega Mart Ltd,49208
TIINDIA,Tube Investments of India Ltd,48699
COLPAL,Colgate-Palmolive (India) Ltd,48661
SUNDARMFIN,Sundaram Finance Ltd,48615
PRESTIGE,Prestige Estates Projects Ltd,48509
UPL,UPL Ltd,47908
BERGEPAINT,Berger Paints India Ltd,47829
SUPREMEIND,Supreme Industries Ltd,47754
,Altius Telecom Infrastructure Trust,47539
MAHABANK,Bank of Maharashtra,47165
GODREJPROP,Godrej Properties Ltd,44315
HINDCOPPER,Hindustan Copper Ltd,43946
ASTRAL,Astral Ltd,42903
VOLTAS,Voltas Ltd,42031
PIRAMALFIN,Piramal Finance Ltd,41515
PIIND,P I Industries Ltd,41240
UBL,United Breweries Ltd,40775
IPCALAB,Ipca Laboratories Ltd,40669
PREMIERENE,Premier Energies Ltd,40330
BALKRISIND,Balkrishna Industries Ltd,40259
BDL,Bharat Dynamics Ltd,40208
EMBASSY,Embassy Office Parks REIT,39826
M&MFIN,Mahindra & Mahindra Financial Services Ltd,39781
APARINDS,Apar Industries Ltd,39668
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,39552
JKCEMENT,J K Cements Ltd,39236
THERMAX,Thermax Ltd,39204
